Bwd.IAT.Total,Avg.Fwd.Segment.Size,Fwd.Packet.Length.Mean,Init_Win_bytes_forward,Destination.Port,Fwd.Header.Length,Bwd.IAT.Max,Bwd.IAT.Std,Total.Length.of.Fwd.Packets,Subflow.Fwd.Bytes,Source.Port,Bwd.IAT.Mean,Fwd.Packet.Length.Max,Fwd.IAT.Total,Flow.Duration,Flow.Bytes.s,Flow.Packets.s,Down.Up.Ratio,ProtocolName,source_file
333372314.2147064,608.1122994652407,674.5614973262032,1444,443,19616,36900960.92224121,4276576.506517815,227434,227434,56404,1035317.746008405,2742.0,333550426.95999146,333550426.95999146,1260.8138560423529,2.089639058035454,0.8636363636363636,FACEBOOK,facebook_audio1a.pcap
0.0,34.0,76.0,0,53,28,0.0,0.0,34,34,11165,0.0,76.0,0.0,413.8946533203125,625763.0967741936,4832.147465437788,1.0,FACEBOOK,facebook_audio1a.pcap
0.0,34.0,76.0,0,53,28,0.0,0.0,34,34,50750,0.0,76.0,0.0,446.08116149902344,580611.8311063602,4483.489043292357,1.0,FACEBOOK,facebook_audio1a.pcap
75690098.04725647,4.416666666666667,68.41666666666667,595,443,600,10048732.995986938,3314071.2913195007,53,53,50735,8410010.894139608,119.0,75711524.00970459,75711524.00970459,20.261116389671066,0.29057663661848987,0.8333333333333334,FACEBOOK,facebook_audio1a.pcap
5059903.860092163,71.66666666666667,135.88888888888889,29200,443,452,4974241.9719696045,1847539.1785016828,645,645,50736,843317.3100153605,583.0,5081542.96875,5081542.96875,373.90218122417605,3.148649947150956,0.7777777777777778,FACEBOOK,facebook_audio1a.pcap
0.0,34.0,76.0,0,53,28,0.0,0.0,34,34,51684,0.0,76.0,0.0,355.00526428222656,729566.6460711887,5633.719274680994,1.0,FACEBOOK,facebook_audio1a.pcap
0.0,34.0,76.0,0,53,28,0.0,0.0,34,34,25643,0.0,76.0,0.0,361.2041473388672,717046.0303630363,5537.03498349835,1.0,FACEBOOK,facebook_audio1a.pcap
121694251.06048584,29.90909090909091,93.72727272727273,602,443,548,59003110.88562012,27257900.550885573,329,329,40021,20282375.17674764,135.0,121709071.87461853,121717481.85157776,14.303615006782465,0.14788344062153036,0.6363636363636364,FACEBOOK,facebook_audio1a.pcap
328320038.08021545,3.3,69.3,631,5228,520,45060112.953186035,10625085.271101022,33,33,37692,41040004.76002693,99.0,328320010.1852417,328358410.1200104,4.0199975371958905,0.05786360091418328,0.9,FACEBOOK,facebook_audio1a.pcap
0.0,42.0,84.0,0,53,28,0.0,0.0,42,42,40620,0.0,84.0,0.0,381.9465637207031,719996.0049937578,5236.334581772784,1.0,FACEBOOK,facebook_audio1a.pcap
329490324.97406006,24.5,91.5,29200,3478,424,329332102.060318,142582149.4760433,196,196,52088,82372581.24351501,218.0,329569476.1276245,329569476.1276245,3.7928269774472145,0.03944540056545103,0.625,FACEBOOK,facebook_audio1a.pcap
329490031.003952,24.5,91.5,29200,443,424,329331580.16204834,142581890.60107124,196,196,43138,82372507.750988,218.0,329569422.9602814,329569422.9602814,3.792827589319917,0.03944540692892713,0.625,FACEBOOK,facebook_audio1a.pcap
329489382.982254,24.5,91.5,29200,3478,424,329330552.816391,142581391.01382834,196,196,55732,82372345.7455635,218.0,329568766.11709595,329568766.11709595,3.7928351485707066,0.03944548554513535,0.625,FACEBOOK,facebook_audio1a.pcap
329489320.99342346,24.5,91.5,29200,443,424,329310328.9604187,142569724.8803001,196,196,33239,82372330.24835587,218.0,329568722.0096588,329568722.0096588,3.7928356561802783,0.03944549082427489,0.625,FACEBOOK,facebook_audio1a.pcap
0.0,32.0,74.0,0,53,28,0.0,0.0,32,32,59849,0.0,74.0,0.0,323.0571746826172,742902.553505535,6190.854612546125,1.0,FACEBOOK,facebook_audio1a.pcap
329489524.8413086,24.5,91.5,29200,3478,424,329250096.7979431,142534926.7022287,196,196,39288,82372381.21032715,218.0,329568552.97088623,329568552.97088623,3.7928376015609224,0.0394455110562336,0.625,FACEBOOK,facebook_audio1a.pcap
329489383.93592834,24.5,91.5,29200,443,424,329229463.10043335,142523037.41227424,196,196,50318,82372345.98398209,218.0,329568389.8925781,329568389.8925781,3.792839478347526,0.039445530574814265,0.625,FACEBOOK,facebook_audio1a.pcap
329488405.94291687,24.5,91.5,29200,3478,424,329209683.8951111,142511762.36201835,196,196,58462,82372101.48572922,218.0,329568393.94569397,329568393.94569397,3.7928394317022223,0.03944553008970311,0.625,FACEBOOK,facebook_audio1a.pcap
329489021.06285095,24.5,91.5,29200,443,424,329189862.9665375,142500234.0259652,196,196,34255,82372255.26571274,218.0,329568420.1717377,329568420.1717377,3.7928391298796975,0.03944552695074885,0.625,FACEBOOK,facebook_audio1a.pcap
329488997.22099304,24.5,91.5,29200,3478,424,329129562.1395111,142465437.54650816,196,196,38083,82372249.30524826,218.0,329568117.85697937,329568117.85697937,3.7928426090731713,0.03944556313436098,0.625,FACEBOOK,facebook_audio1a.pcap
329488725.90065,24.5,91.5,29200,443,424,329109570.980072,142453940.59390628,196,196,47473,82372181.4751625,218.0,329568147.89772034,329568147.89772034,3.792842263348613,0.03944555953882557,0.625,FACEBOOK,facebook_audio1a.pcap
329488428.1158447,24.5,91.5,29200,3478,424,329089848.0415344,142442602.72851953,196,196,48254,82372107.02896118,218.0,329568086.14730835,329568086.14730835,3.7928429740047176,0.03944556692964906,0.625,FACEBOOK,facebook_audio1a.pcap
329488459.11026,24.5,91.5,29200,443,424,329069985.1512909,142431137.12795165,196,196,53295,82372114.777565,218.0,329568117.85697937,329568117.85697937,3.7928426090731713,0.03944556313436098,0.625,FACEBOOK,facebook_audio1a.pcap
329488386.86943054,24.5,91.5,29200,3478,424,329009222.98431396,142396089.8747282,196,196,57962,82372096.71735764,218.0,329567904.2339325,329567904.2339325,3.7928450675607364,0.03944558870263166,0.625,FACEBOOK,facebook_audio1a.pcap
329488492.0120239,24.5,91.5,29200,443,424,328989062.07084656,142384443.5743623,196,196,43784,82372123.00300598,218.0,329568007.9460144,329568007.9460144,3.7928438739865764,0.03944557628946039,0.625,FACEBOOK,facebook_audio1a.pcap
329488453.86505127,24.5,91.5,29200,3478,424,328968699.9320984,142372702.1971587,196,196,52237,82372113.46626282,218.0,329568078.04107666,329568078.04107666,3.7928430672955002,0.039445567899873205,0.625,FACEBOOK,facebook_audio1a.pcap
329488131.9999695,24.5,91.5,29200,443,424,328948770.04623413,142361251.82111523,196,196,50328,82372032.99999237,218.0,329568028.92684937,329568028.92684937,3.792843632527987,0.03944557377829106,0.625,FACEBOOK,facebook_audio1a.pcap
329488065.00434875,24.5,91.5,29200,3478,424,328889070.9877014,142326825.42153823,196,196,57434,82372016.25108719,218.0,329567844.15245056,329567844.15245056,3.7928457590109383,0.039445595893713756,0.625,FACEBOOK,facebook_audio1a.pcap
329487999.91607666,24.5,91.5,29200,443,424,328869374.99046326,142315474.72262362,196,196,40019,82371999.97901917,218.0,329567876.10054016,329567876.10054016,3.792845391335006,0.03944559206988406,0.625,FACEBOOK,facebook_audio1a.pcap
329487972.0211029,24.5,91.5,29200,3478,424,328849082.94677734,142303775.19925267,196,196,50912,82371993.00527573,218.0,329567889.92881775,329567889.92881775,3.792845232191714,0.03944559041479383,0.625,FACEBOOK,facebook_audio1a.pcap
329487932.2052002,24.5,91.5,29200,443,424,328828727.00691223,142292041.02307528,196,196,42029,82371983.05130005,218.0,329567895.8892822,329567895.8892822,3.7928451635954716,0.039445589701392905,0.625,FACEBOOK,facebook_audio1a.pcap
329488360.8818054,24.5,91.5,29200,3478,424,328769675.9700775,142257926.0757234,196,196,38715,82372090.22045135,218.0,329568239.92729187,329568239.92729187,3.792841204224565,0.039445548523935475,0.625,FACEBOOK,facebook_audio1a.pcap
329488208.0554962,24.5,91.5,29200,443,424,328750046.9684601,142246629.27636448,196,196,50285,82372052.01387405,218.0,329568202.0187378,329568202.0187378,3.792841640495798,0.0394455530611563,0.625,FACEBOOK,facebook_audio1a.pcap
329488156.080246,24.5,91.5,29200,3478,424,328729121.2081909,142234570.0222624,196,196,46903,82372039.0200615,218.0,329568151.9508362,329568151.9508362,3.792842216703241,0.039445559053713705,0.625,FACEBOOK,facebook_audio1a.pcap
329487915.9927368,24.5,91.5,29200,443,424,328709321.975708,142223189.09925902,196,196,37167,82371978.9981842,218.0,329568200.8266449,329568200.8266449,3.792841654215021,0.03944555320383621,0.625,FACEBOOK,facebook_audio1a.pcap
79207.18193054199,98.0,140.0,0,50021,56,79207.18193054199,0.0,196,196,35612,79207.18193054199,194.0,80343.00804138184,159401.17835998535,3412.772763645773,25.09391737974833,1.0,FACEBOOK,facebook_audio1a.pcap
