Bwd.IAT.Total,Avg.Fwd.Segment.Size,Fwd.Packet.Length.Mean,Init_Win_bytes_forward,Destination.Port,Fwd.Header.Length,Bwd.IAT.Max,Bwd.IAT.Std,Total.Length.of.Fwd.Packets,Subflow.Fwd.Bytes,Source.Port,Bwd.IAT.Mean,Fwd.Packet.Length.Max,Fwd.IAT.Total,Flow.Duration,Flow.Bytes.s,Flow.Packets.s,Down.Up.Ratio,ProtocolName,source_file
0.0,40.0,68.0,0,53,28,0.0,0.0,40,40,10400,0.0,68.0,0.0,9813.070297241211,17935.26334459049,203.80981073398286,1.0,INSTAGRAM,instagram1.pcap
215980.05294799805,293.0,334.8181818181818,65535,443,460,162518.97811889648,54511.409445789,3223,3223,39254,30854.293278285437,1611.0,243087.0532989502,243087.0532989502,22662.663129265846,78.16129959267582,0.7272727272727273,INSTAGRAM,instagram1.pcap
183054.20875549316,441.3333333333333,469.3333333333333,0,443,84,141574.14436340332,50047.03998565674,1324,1324,32959,91527.10437774658,1280.0,216511.01112365723,216511.01112365723,13024.741722671077,27.712216431215058,1.0,INSTAGRAM,instagram1.pcap
2421465.1584625244,277.6333333333333,305.6333333333333,0,443,840,1203042.984008789,199186.97936128362,8329,8329,36199,69184.71881321499,1280.0,2458050.9662628174,2479262.113571167,8797.375590345751,26.620823848646076,1.2,INSTAGRAM,instagram2.pcap
0.0,44.0,72.0,0,53,28,0.0,0.0,44,44,10000,0.0,72.0,0.0,8870.840072631836,21982.134544574947,225.45779020076867,1.0,INSTAGRAM,instagram2.pcap
0.0,40.0,68.0,0,53,28,0.0,0.0,40,40,33272,0.0,68.0,0.0,18862.96272277832,9966.620979056333,106.02788275591845,1.0,INSTAGRAM,instagram2.pcap
8716144.800186157,230.21428571428572,271.64285714285717,65535,443,580,8481781.959533691,2954744.88508369,3223,3223,33140,1245163.5428837368,552.0,8745260.000228882,8745488.88206482,643.6461215500382,2.515582638852521,0.5714285714285714,INSTAGRAM,instagram2.pcap
89143625.02098083,682.1382783882784,710.1382783882784,0,443,30576,23904177.18887329,739802.9996022289,744895,744895,52270,65788.65315201538,1280.0,89129620.07522583,89175717.11540222,20275.194396925315,27.45141927854693,1.2417582417582418,INSTAGRAM,instagram2.pcap
0.0,33.0,61.0,0,53,28,0.0,0.0,33,33,47839,0.0,61.0,0.0,9756.088256835938,17117.516324535678,205.0001955034213,1.0,INSTAGRAM,instagram2.pcap
0.0,44.0,72.0,0,53,28,0.0,0.0,44,44,60169,0.0,72.0,0.0,9510.040283203125,20820.101083032492,210.30405134376252,1.0,INSTAGRAM,instagram2.pcap
112235069.99015808,513.7593123209169,541.7593123209169,0,443,9772,10269249.91607666,1225539.6664797813,179302,179302,46205,352940.4716671638,1280.0,91623308.89701843,112260735.98861694,1980.54999410074,5.950433106618275,0.9140401146131805,INSTAGRAM,instagram2.pcap
88405779.12330627,930.8045977011494,958.8045977011494,0,443,9744,28295502.90107727,2847164.292155797,323920,323920,34228,696108.4970339077,1280.0,88391168.1175232,88430908.203125,3988.232250084895,5.3827333640703126,0.367816091954023,INSTAGRAM,instagram2.pcap
0.0,37.0,65.0,0,53,28,0.0,0.0,37,37,34412,0.0,65.0,0.0,7333.040237426758,23864.590174594403,272.738173423936,1.0,INSTAGRAM,instagram2.pcap
77656103.13415527,345.60310734463275,373.60310734463275,0,443,19824,10032462.120056152,228253.70141508628,244687,244687,47705,9550.621465275522,1280.0,77643806.93435669,77665121.07849121,131894.23846577748,113.82200757874276,11.485875706214689,INSTAGRAM,instagram2.pcap
0.0,50.0,78.0,0,53,28,0.0,0.0,50,50,12930,0.0,78.0,0.0,7937.192916870117,21670.129704725,251.97825238052326,1.0,INSTAGRAM,instagram2.pcap
82685226.91726685,415.8224598930481,443.8224598930481,0,443,26180,10082912.20664978,218789.1248083445,388794,388794,35007,9992.172437131945,1280.0,82673712.01515198,82695794.82078552,126907.43250903688,111.38414014837937,8.851336898395722,INSTAGRAM,instagram2.pcap
