Bwd.IAT.Total,Avg.Fwd.Segment.Size,Fwd.Packet.Length.Mean,Init_Win_bytes_forward,Destination.Port,Fwd.Header.Length,Bwd.IAT.Max,Bwd.IAT.Std,Total.Length.of.Fwd.Packets,Subflow.Fwd.Bytes,Source.Port,Bwd.IAT.Mean,Fwd.Packet.Length.Max,Fwd.IAT.Total,Flow.Duration,Flow.Bytes.s,Flow.Packets.s,Down.Up.Ratio,ProtocolName,source_file
0.0,41.0,69.0,0,53,28,0.0,0.0,41,41,21082,0.0,69.0,0.0,24513.00621032715,8240.523347760542,81.58934007683703,1.0,YOUTUBE,youtube.pcap
0.0,29.0,57.0,0,53,28,0.0,0.0,29,29,11114,0.0,57.0,0.0,22327.899932861328,10121.865499199146,89.57403096636412,1.0,YOUTUBE,youtube.pcap
340467945.09887695,716.0442804428044,744.0442804428044,0,443,7588,79805551.0520935,6766429.625826594,194048,194048,43760,718286.8040060695,1278.0,340470633.02993774,340494475.1262665,2052.887935232397,2.1909312910976273,1.7527675276752768,YOUTUBE,youtube.pcap
0.0,1250.0,1278.0,0,443,168,0.0,0.0,7500,7500,47731,0.0,1278.0,3991348.0281829834,3991348.0281829834,1921.155445693061,1.5032515224515346,0.0,YOUTUBE,youtube.pcap
0.0,41.0,69.0,0,53,28,0.0,0.0,41,41,20225,0.0,69.0,0.0,5589.962005615234,36136.20267849527,357.78418493559667,1.0,YOUTUBE,youtube.pcap
72490468.97888184,64.72,104.98666666666666,65535,443,3020,62968584.060668945,6058866.186962758,4854,4854,37612,677481.0184942228,1064.0,9541910.171508789,72510646.10481262,4369.951407438488,2.5237673339095243,1.44,YOUTUBE,youtube.pcap
62059493.06488037,269.57142857142856,312.42857142857144,65535,443,300,61840755.93948364,24714474.178739246,1887,1887,49790,12411898.612976074,1064.0,359780.07316589355,62159450.0541687,148.23168467498476,0.20913955945027154,0.8571428571428571,YOUTUBE,youtube.pcap
62059666.1567688,265.0,307.85714285714283,65535,443,300,61843313.217163086,24715735.01706025,1855,1855,49794,12411933.23135376,1064.0,354184.1506958008,62158671.14067078,147.68655493333856,0.20914218018882366,0.8571428571428571,YOUTUBE,youtube.pcap
62013621.09184265,185.5,227.5,65535,443,420,61774898.052215576,20418908.743868202,1855,1855,49798,7751702.636480331,1064.0,384956.12144470215,62122923.13575745,151.66704212243957,0.30584523459205604,0.9,YOUTUBE,youtube.pcap
0.0,33.0,61.0,0,53,28,0.0,0.0,33,33,56856,0.0,61.0,0.0,9468.793869018555,30310.090595492886,211.2201435225985,1.0,YOUTUBE,youtube.pcap
14495646.953582764,300.54117647058825,328.54117647058825,0,443,2380,3402607.9177856445,476813.6072813668,25546,25546,41658,135473.33601479218,1278.0,14472728.01399231,14520797.967910767,5450.802371530274,13.291280577452218,1.2705882352941176,YOUTUBE,youtube.pcap
0.0,44.0,72.0,0,53,28,0.0,0.0,44,44,48297,0.0,72.0,0.0,5554.19921875,28807.032967032967,360.0879120879121,1.0,YOUTUBE,youtube.pcap
230797588.82522583,147.25581395348837,175.25581395348837,0,443,1204,115080772.16148376,24501226.79880189,6332,6332,40897,5495180.6863149,1278.0,230773252.01034546,230817624.8073578,110.21255426760236,0.37258853205762027,1.0,YOUTUBE,youtube.pcap
0.0,53.0,81.0,0,53,28,0.0,0.0,53,53,37546,0.0,81.0,0.0,6161.928176879883,34080.24143934997,324.57372799380926,1.0,YOUTUBE,youtube.pcap
